AmCham Shanghai HR Conference for Serena & Claire->zh,上海美国商会塞雷娜和克莱尔人力资源会议
Background check for Stacey Xu->zh,Stacey Xu的背景调查
Bank charge->zh,银行手续费
Beverage for team dinner->zh,团队晚餐饮品
Breakfast->zh,早餐
Breakfast(Thailand trip for Midea Refrigeration Equipment FV)->zh,美的制冷设备FV泰国之旅早餐
Cakes for the 5th anniversary of FuelPro System->zh,FuelPro系统5周年纪念蛋糕
Certificate for in-house training->zh,内部培训证书
Court rental fee for team sports (Badminton)->zh,羽毛球团体场地费
Court rental fee for team sports (Basketball)->zh,篮球场地租赁费
Court rental fee for team sports (Table tennis)->zh,团体乒乓球场地费
Dinner->zh,晚餐
Dinner (Training in Changshu)->zh,晚餐（常熟培训）
Dinner at Changshu (training)->zh,常熟晚餐(培训)
Dinner at Changshu with Frank->zh,与Frank在常熟共进晚餐
"Dinner for In-house training in Changshu (April ,Frieda)->zh","常熟内部培训晚宴(四月,Frieda)"
Dinner in Changshu->zh,常熟晚餐
Dinner in Changshu (training)->zh,常熟晚餐(培训)
Dinner with Charlie(QA) and Jim(QC)->zh,与Charlie(QA)和Jim(QC)晚餐
"Dinner with Chloe, Carol and Selena->zh",与克洛伊、卡罗尔和塞琳娜共进晚餐
Dinner with Christy->zh,与克里斯蒂共进晚餐
Dinner with Claire(BMOO)/Lottie(OA)/Daisy(QA)/Laura(SCA)/Stacey(SCA)->zh,与克莱尔(BMOO)、洛蒂(OA)、黛西(QA)、劳拉(SCA)、斯泰西(SCA)晚餐
Dinner with Frank (QC)->zh,与Frank共进晚餐(QC)
Drain board for water dispenser using->zh,饮水机接水板
Drinks for team sports->zh,团队运动饮料
E-banking certificate service fee for Edward's USB key->zh,爱德华USB密钥的电子银行证书服务费
E-banking certificate service fee for Lottie's USB Key->zh,洛蒂USB密钥电子银行证书服务费
FSG disability insurance payment and service fee for Sept.2025->zh,FSG残疾保险付款和服务费（2025年9月）
Final payment for in-house training for CY'25(including service fee for Room/F&B/Meeting)->zh,2025年度内部培训尾款(含会议室/餐饮/会议服务费)
Fire-fighting water drainage service fee required for air-conditioning maintenance->zh,空调维护所需的消防水排水服务费
Flight fare for domestic travel for Aug.2025->zh,2025年8月国内旅行机票价格
Flight fare for international travel for Aug.2025(Thailand)->zh,2025年8月泰国国际机票价格
From  Changshu Train station to hotel by taxi Jennifer->zh,从常熟火车站到酒店乘坐出租车，Jennifer
From Airport to Home by Taxi->zh,乘出租车从机场回家
From Changshu Railway Station to Hyatt by taxi with Serissa->zh,与Serissa一起从常熟火车站乘出租车到凯悦酒店
From Changshu Railway station to hotel by taxi with Claire->zh,和克莱尔乘出租车从常熟火车站到酒店
From Changshu Station to Changshu Hyatt Hotel by Taxi with Carol->zh,和卡罗尔一起从常熟站乘坐出租车到常熟凯悦酒店
