科目,编码
差旅费交通-管理费用,66021301
住宿费-管理费用,66021302
餐饮费-管理费用,66021303
过路过桥停车费-管理费用,66021301
文印快递-管理费用,660215
招待费-管理费用,660226
市内交通-管理费用,660212
团建费-管理费用,660209
固定资产-管理费用,160103
IT建设-管理费用,660229
福利费-管理费用,660209
办公费-管理费用,660202
维修费-管理费用,660218
市场费-管理费用,660111
会务费-管理费用,660230
通讯费-管理费用,660217
出差餐补-管理费用,660231
其他-管理费用,660225
招聘费-管理费用,660216
职工教育经费-管理费用,660224
差旅费交通-研发费用,6602101501
住宿费-研发费用,6602101502
餐饮费-研发费用,6602101503
过路过桥停车费-研发费用,6602101501
文印快递-研发费用,66021008
招待费-研发费用,66021016
市内交通-研发费用,66021005
团建费-研发费用,66021006
固定资产-研发费用,160103
IT建设-研发费用,66021014
福利费-研发费用,66021006
办公费-研发费用,66021004
维修费-研发费用,66021013
市场费-研发费用,660111
会务费-研发费用,660230
通讯费-研发费用,660217
出差餐补-研发费用,66021017
其他-研发费用,660225
招聘费-研发费用,660216
职工教育经费-研发费用,66021018
